skill,id,skill_value,group_level,group_type
HTML,1,50,proficient,language
CSS,2,40,proficient,language
JavaScript,3,70,advance,language
Ruby,4,40,proficient,language
Rails,5,40,proficient,framework
Ember,6,50,basics,framework
Express,7,40,proficient,framework
JQuery,8,40,basics,library
React,9,60,proficient,library
Bootstrap,10,50,basics,library
D3,11,40,basics,library
JSON,12,40,proficient,other
Postres,13,30,basics,other
Mongo,14,30,basics,other
Firebase,15,30,basics,other
Git,16,60,advance,other
GitHub,17,60,advance,other
